Sample.ID,Sex,Age,Year,month,locality,Lat,Long,Length,Type,Lifestage,State,Species,Region,Place Holder
UA_110833,M,1.91 months,2001,8,White Sisters,57.633656,-136.254669,,,,,Sea Lion,,
UA_110841,M,14.15 months,2001,8,Bieli Rocks,57.088989,-135.48551,,,,,Sea Lion,,
UA_110846,M,14.15 months,2001,8,Bieli Rocks,57.088989,-135.48551,,,,,Sea Lion,,
UA_110847,F,2.02 months,2001,8,Specific locality unknown,55.8757,-134.592711,,,,,Sea Lion,,
UA_110850,F,2.02 months,2001,8,Specific locality unknown,55.8757,-134.592711,,,,,Sea Lion,,
UA_110852,F,14.22 months,2001,8,Southwest Brothers Island,57.295176,-133.855464,,,,,Sea Lion,,
UA_110853,M,14.22 months,2001,8,Southwest Brothers Island,57.295176,-133.855464,,,,,Sea Lion,,
UA_110855,M,14.25 months,2001,8,Southwest Brothers Island,57.295176,-133.855464,,,,,Sea Lion,,
UA_110857,F,14.28 months,2001,8,Southwest Brothers Island,57.295176,-133.855464,,,,,Sea Lion,,
UA_110869,M,3.02 months,2001,9,Specific locality unknown,54.209576,-164.824313,,,,,Sea Lion,,
UA_110870,F,3.11 months,2001,9,Cape Morgan,54.059048,-166.034876,,,,,Sea Lion,,
UA_110871,M,3.11 months,2001,9,Cape Morgan,54.059048,-166.034876,,,,,Sea Lion,,
UA_110873,F,3.11 months,2001,9,Cape Morgan,54.059048,-166.034876,,,,,Sea Lion,,
UA_110877,F,3.11 months,2001,9,Cape Morgan,54.059048,-166.034876,,,,,Sea Lion,,
UA_110878,M,15.32 months,2001,9,Cape Morgan,54.059048,-166.034876,,,,,Sea Lion,,
UA_110879,M,4.78 months,2001,11,The Needle,60.11192,-147.601654,,,,,Sea Lion,,
UA_110880,M,4.78 months,2001,11,The Needle,60.11192,-147.601654,,,,,Sea Lion,,
UA_110881,F,4.82 months,2001,11,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_110883,M,4.82 months,2001,11,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_110885,F,17.01 months,2001,11,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_110887,M,4.88 months,2001,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_110888,F,4.88 months,2001,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_110890,F,17.05 months,2001,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_110893,F,4.91 months,2001,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_110894,F,4.91 months,2001,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_110895,M,17.08 months,2001,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_110899,F,4.98 months,2001,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_110900,F,4.98 months,2001,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_110902,F,4.98 months,2001,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_110903,F,17.18 months,2001,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_110904,F,17.18 months,2001,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_110908,M,9.65 months,2002,3,Specific locality unknown,52.082071,-173.608352,,,,,Sea Lion,,
UA_110911,F,9.78 months,2002,4,Oglala Point,51.869134,-176.29104,,,,,Sea Lion,,
UA_110915,M,9.89 months,2002,4,Oglala Point,51.869134,-176.29104,,,,,Sea Lion,,
UA_110916,M,11.12 months,2002,5,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_110920,M,23.32 months,2002,5,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_110923,M,23.35 months,2002,5,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_110926,M,23.38 months,2002,5,The Needle,60.11192,-147.601654,,,,,Sea Lion,,
UA_110929,M,11.25 months,2002,5,The Needle,60.11192,-147.601654,,,,,Sea Lion,,
UA_110930,M,11.25 months,2002,5,The Needle,60.11192,-147.601654,,,,,Sea Lion,,
UA_110937,M,23.48 months,2002,5,Procession Rocks,60.006079,-148.285537,,,,,Sea Lion,,
UA_110938,F,11.35 months,2002,5,The Needle,60.11192,-147.601654,,,,,Sea Lion,,
UA_110942,F,12.28 months,2002,6,Southwest Brothers Island,57.295176,-133.855464,,,,,Sea Lion,,
UA_110944,F,24.48 months,2002,6,Southwest Brothers Island,57.295176,-133.855464,,,,,Sea Lion,,
UA_110945,M,12.31 months,2002,6,Southwest Brothers Island,57.295176,-133.855464,,,,,Sea Lion,,
UA_110946,F,24.48 months,2002,6,Southwest Brothers Island,57.295176,-133.855464,,,,,Sea Lion,,
UA_110950,M,12.35 months,2002,6,Southwest Brothers Island,57.295176,-133.855464,,,,,Sea Lion,,
UA_110951,M,12.35 months,2002,6,Southwest Brothers Island,57.295176,-133.855464,,,,,Sea Lion,,
UA_110953,M,12.35 months,2002,6,Southwest Brothers Island,57.295176,-133.855464,,,,,Sea Lion,,
UA_110955,M,12.38 months,2002,6,Sunset Island,57.499544,-133.580185,,,,,Sea Lion,,
UA_110956,M,12.38 months,2002,6,Sunset Island,57.499544,-133.580185,,,,,Sea Lion,,
UA_110957,F,12.38 months,2002,6,Sunset Island,57.499544,-133.580185,,,,,Sea Lion,,
UA_110958,F,24.55 months,2002,6,Sunset Island,57.499544,-133.580185,,,,,Sea Lion,,
UA_110959,M,15.11 months,2002,9,The Needle,60.11192,-147.601654,,,,,Sea Lion,,
UA_110960,M,15.11 months,2002,9,The Needle,60.11192,-147.601654,,,,,Sea Lion,,
UA_110962,M,15.22 months,2002,9,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_110965,M,3.08 months,2002,9,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_110966,M,27.41 months,2002,9,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_110967,F,15.28 months,2002,9,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_110968,M,27.45 months,2002,9,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_110970,F,3.11 months,2002,9,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_110971,F,3.11 months,2002,9,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_110974,F,3.15 months,2002,9,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_110977,M,17.25 months,2002,11,Southwest Brothers Island,57.295176,-133.855464,,,,,Sea Lion,,
UA_110979,M,17.25 months,2002,11,Southwest Brothers Island,57.295176,-133.855464,,,,,Sea Lion,,
UA_110985,M,17.35 months,2002,11,West Brothers Island,57.296409,-133.839979,,,,,Sea Lion,,
UA_110987,M,5.18 months,2002,11,West Brothers Island,57.296409,-133.839979,,,,,Sea Lion,,
UA_110989,F,17.41 months,2002,11,Specific locality unknown,58.562202,-134.910806,,,,,Sea Lion,,
UA_110991,F,17.45 months,2002,11,Specific locality unknown,58.562202,-134.910806,,,,,Sea Lion,,
UA_110997,F,5.33 months,2002,11,Specific locality unknown,58.562202,-134.910806,,,,,Sea Lion,,
UA_110999,F,21.7 months,2003,3,Yunaska Island,52.631262,-170.696206,,,,,Sea Lion,,
UA_111000,F,9.53 months,2003,3,Yunaska Island,52.631262,-170.696206,,,,,Sea Lion,,
UA_111002,F,9.53 months,2003,3,Yunaska Island,52.631262,-170.696206,,,,,Sea Lion,,
UA_111003,F,9.63 months,2003,3,Oglala Point,51.869134,-176.29104,,,,,Sea Lion,,
UA_111004,F,9.63 months,2003,3,Oglala Point,51.869134,-176.29104,,,,,Sea Lion,,
UA_111005,F,21.8 months,2003,3,Oglala Point,51.869134,-176.29104,,,,,Sea Lion,,
UA_111006,F,9.67 months,2003,4,Oglala Point,51.869134,-176.29104,,,,,Sea Lion,,
UA_111007,M,9.7 months,2003,4,Oglala Point,51.869134,-176.29104,,,,,Sea Lion,,
UA_111009,M,4.57 months,2003,10,Specific locality unknown,58.562202,-134.910806,,,,,Sea Lion,,
UA_111010,M,8.3 months,2004,2,Specific locality unknown,58.562202,-134.910806,,,,,Sea Lion,,
UA_111012,F,16.77 months,2003,10,Little Island,58.54137,-135.045892,,,,,Sea Lion,,
UA_111013,M,28.93 months,2003,10,Little Island,58.54137,-135.045892,,,,,Sea Lion,,
UA_111015,M,28.93 months,2003,10,Little Island,58.54137,-135.045892,,,,,Sea Lion,,
UA_111016,M,16.8 months,2003,11,Little Island,58.54137,-135.045892,,,,,Sea Lion,,
UA_111020,M,16.83 months,2003,11,Little Island,58.54137,-135.045892,,,,,Sea Lion,,
UA_111023,M,4.7 months,2003,11,Specific locality unknown,58.562202,-134.910806,,,,,Sea Lion,,
UA_111025,M,16.87 months,2003,11,Specific locality unknown,58.562202,-134.910806,,,,,Sea Lion,,
UA_111026,F,4.7 months,2003,11,Specific locality unknown,58.562202,-134.910806,,,,,Sea Lion,,
UA_111028,M,4.7 months,2003,11,Specific locality unknown,58.562202,-134.910806,,,,,Sea Lion,,
UA_111029,M,5.03 months,2003,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111030,F,17.2 months,2003,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111033,M,5.07 months,2003,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111037,F,17.3 months,2003,11,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_111038,F,5.17 months,2003,11,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_111040,M,17.33 months,2003,11,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_111048,M,5.27 months,2003,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111050,M,20.67 months,2005,2,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_111056,M,20.47 months,2004,2,Specific locality unknown,58.562202,-134.910806,,,,,Sea Lion,,
UA_111057,F,8.33 months,2004,2,Specific locality unknown,58.562202,-134.910806,,,,,Sea Lion,,
UA_111059,M,8.37 months,2004,2,Specific locality unknown,58.562202,-134.910806,,,,,Sea Lion,,
UA_111060,F,8.37 months,2004,2,Specific locality unknown,58.562202,-134.910806,,,,,Sea Lion,,
UA_111066,F,8.5 months,2004,2,Specific locality unknown,58.562202,-134.910806,,,,,Sea Lion,,
UA_111067,F,8.5 months,2004,2,Specific locality unknown,58.562202,-134.910806,,,,,Sea Lion,,
UA_111068,M,8.53 months,2004,2,Specific locality unknown,58.562202,-134.910806,,,,,Sea Lion,,
UA_111070,M,20.7 months,2004,2,Specific locality unknown,58.562202,-134.910806,,,,,Sea Lion,,
UA_111072,M,10.87 months,2004,5,Oglala Point,51.869134,-176.29104,,,,,Sea Lion,,
UA_111074,M,10.9 months,2004,5,Silak Island,51.8136,-176.243766,,,,,Sea Lion,,
UA_111079,M,35.63 months,2004,5,Billings Head,54.283539,-165.481323,,,,,Sea Lion,,
UA_111084,F,26.53 months,2004,8,Southwest Brothers Island,57.295176,-133.855464,,,,,Sea Lion,,
UA_111087,M,14.37 months,2004,8,Southwest Brothers Island,57.295176,-133.855464,,,,,Sea Lion,,
UA_111088,M,2.2 months,2004,8,Specific locality unknown,55.8757,-134.592711,,,,,Sea Lion,,
UA_111090,M,2.2 months,2004,8,Specific locality unknown,55.8757,-134.592711,,,,,Sea Lion,,
UA_111091,F,2.2 months,2004,8,Specific locality unknown,55.8757,-134.592711,,,,,Sea Lion,,
UA_111095,F,2.23 months,2004,8,Shore 11 South,54.801791,-133.523154,,,,,Sea Lion,,
UA_111096,F,2.23 months,2004,8,Shore 11 South,54.801791,-133.523154,,,,,Sea Lion,,
UA_111097,F,2.23 months,2004,8,Shore 11 South,54.801791,-133.523154,,,,,Sea Lion,,
UA_111098,F,2.23 months,2004,8,Shore 11 South,54.801791,-133.523154,,,,,Sea Lion,,
UA_111099,M,2.28 months,2004,8,Shore 11 South,54.801791,-133.523154,,,,,Sea Lion,,
UA_111101,M,2.29 months,2004,8,Sea Lion Rocks,54.801791,-133.523154,,,,,Sea Lion,,
UA_111106,M,2.31 months,2004,8,North Rocks,54.834272,-133.530914,,,,,Sea Lion,,
UA_111109,F,2.32 months,2004,8,Sea Lion Rocks,54.801791,-133.523154,,,,,Sea Lion,,
UA_111112,M,26.73 months,2004,8,Sail Island,57.348114,-133.720939,,,,,Sea Lion,,
UA_111114,M,8.47 months,2005,2,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_111115,M,7.33 months,2005,1,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111116,M,7.33 months,2005,1,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111119,M,7.33 months,2005,1,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111120,M,8.37 months,2005,2,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111121,M,7.33 months,2005,1,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111122,M,7.37 months,2005,1,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111127,F,7.37 months,2005,1,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111129,F,7.37 months,2005,1,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111130,F,7.4 months,2005,1,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111132,M,7.4 months,2005,1,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111133,F,7.43 months,2005,1,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111135,M,7.43 months,2005,1,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111137,M,7.43 months,2005,1,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111144,M,7.47 months,2005,1,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111147,F,19.7 months,2005,1,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_111149,F,7.53 months,2005,1,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111150,F,8.57 months,2005,2,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111151,F,7.53 months,2005,1,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111152,M,7.53 months,2005,1,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111153,M,7.6 months,2005,1,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_111154,M,7.6 months,2005,1,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_111155,M,7.6 months,2005,1,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_111158,M,20.6 months,2005,2,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_111159,F,20.63 months,2005,2,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_111160,M,20.63 months,2005,2,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_111162,M,20.73 months,2005,2,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111164,M,20.83 months,2005,3,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111165,F,10.28 months,2005,4,Silak Island,51.8136,-176.243766,,,,,Sea Lion,,
UA_111167,M,10.3 months,2005,4,Tanaga Island,51.801725,-177.922551,,,,,Sea Lion,,
UA_111168,M,10.38 months,2005,4,Specific locality unknown,51.76041,-176.620651,,,,,Sea Lion,,
UA_111169,M,10.38 months,2005,4,Specific locality unknown,51.76041,-176.620651,,,,,Sea Lion,,
UA_111170,M,10.38 months,2005,4,Specific locality unknown,51.76041,-176.620651,,,,,Sea Lion,,
UA_111171,M,10.38 months,2005,4,Specific locality unknown,51.76041,-176.620651,,,,,Sea Lion,,
UA_111174,M,10.43 months,2005,4,Ship Rock,51.754505,-177.233902,,,,,Sea Lion,,
UA_111175,M,10.47 months,2005,4,Oglala Point,51.869134,-176.29104,,,,,Sea Lion,,
UA_111177,M,10.68 months,2005,5,Semisopochnoi Island,51.943307,-179.625207,,,,,Sea Lion,,
UA_111179,M,10.72 months,2005,5,Specific locality unknown,51.76041,-176.620651,,,,,Sea Lion,,
UA_111180,F,10.72 months,2005,5,Specific locality unknown,51.76041,-176.620651,,,,,Sea Lion,,
UA_111181,M,5.05 months,2005,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111182,F,9.6 months,2006,3,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_111183,F,5.05 months,2005,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111186,F,5.08 months,2005,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111190,M,5.08 months,2005,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111195,M,5.11 months,2005,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111197,F,5.15 months,2005,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111200,F,9.9 months,2006,4,The Needle,60.11192,-147.601654,,,,,Sea Lion,,
UA_111201,M,10 months,2006,4,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_111203,M,5.18 months,2005,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111204,M,5.18 months,2005,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111207,M,5.18 months,2005,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111210,F,9.7 months,2006,4,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_111211,F,5.23 months,2005,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111212,F,5.23 months,2005,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111215,M,4.92 months,2007,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111216,M,4.92 months,2007,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111219,M,9.83 months,2008,4,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_111221,F,5.01 months,2007,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111222,M,5.01 months,2007,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111223,F,5.01 months,2007,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111225,F,5.01 months,2007,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111228,F,5.08 months,2007,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111230,F,5.08 months,2007,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111231,M,5.08 months,2007,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111232,M,10.17 months,2008,4,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111233,F,9.83 months,2008,4,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_111234,F,5.08 months,2007,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111235,F,9.9 months,2008,4,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_111237,U,9.77 months,2008,4,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_111238,U,5.11 months,2007,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111239,F,5.11 months,2007,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111243,M,5.11 months,2007,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111244,M,5.11 months,2007,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111248,M,5.15 months,2007,11,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_111251,M,9.83 months,2008,4,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_111252,F,5.18 months,2007,11,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_111257,M,5.21 months,2007,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111258,M,9.93 months,2008,4,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111259,M,5.21 months,2007,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111260,F,5.21 months,2007,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111261,F,5.21 months,2007,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111266,M,17 months,2009,11,Specific locality unknown,58.643392,-136.044755,,,,,Sea Lion,,
UA_111269,F,5 months,2009,11,Specific locality unknown,58.643392,-136.044755,,,,,Sea Lion,,
UA_111270,M,5 months,2009,11,Specific locality unknown,58.643392,-136.044755,,,,,Sea Lion,,
UA_111274,F,5 months,2009,11,Specific locality unknown,58.643392,-136.044755,,,,,Sea Lion,,
UA_111276,F,5 months,2009,11,Specific locality unknown,58.643392,-136.044755,,,,,Sea Lion,,
UA_111277,F,5 months,2009,11,Specific locality unknown,58.643392,-136.044755,,,,,Sea Lion,,
UA_111278,F,5 months,2009,11,Specific locality unknown,58.643392,-136.044755,,,,,Sea Lion,,
UA_111281,F,5 months,2009,11,Specific locality unknown,58.643392,-136.044755,,,,,Sea Lion,,
UA_111284,F,5 months,2009,11,Specific locality unknown,58.643392,-136.044755,,,,,Sea Lion,,
UA_111285,F,5 months,2009,11,Specific locality unknown,58.643392,-136.044755,,,,,Sea Lion,,
UA_111286,M,17 months,2009,11,Specific locality unknown,58.643392,-136.044755,,,,,Sea Lion,,
UA_111287,F,5 months,2009,11,Specific locality unknown,58.643392,-136.044755,,,,,Sea Lion,,
UA_111288,M,5 months,2009,11,Specific locality unknown,58.643392,-136.044755,,,,,Sea Lion,,
UA_111290,F,5 months,2009,11,Specific locality unknown,58.643392,-136.044755,,,,,Sea Lion,,
UA_111291,F,17 months,2009,11,Specific locality unknown,58.643392,-136.044755,,,,,Sea Lion,,
UA_111295,F,2.23 months,2004,8,Shore 11 South,54.801791,-133.523154,,,,,Sea Lion,,
UA_111300,F,5.05 months,2005,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111302,M,5.08 months,2005,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111303,F,9.6 months,2006,3,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_111307,F,10.13 months,2008,4,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_111311,M,8.53 months,2004,2,Specific locality unknown,58.562202,-134.910806,,,,,Sea Lion,,
UA_111312,F,17.31 months,2002,11,West Brothers Island,57.296409,-133.839979,,,,,Sea Lion,,
UA_111313,F,8.53 months,2004,2,Specific locality unknown,58.562202,-134.910806,,,,,Sea Lion,,
UA_111314,M,14.37 months,2004,8,Southwest Brothers Island,57.295176,-133.855464,,,,,Sea Lion,,
UA_111315,M,14.57 months,2004,8,Sail Island,57.348114,-133.720939,,,,,Sea Lion,,
UA_111318,M,8.5 months,2004,2,Specific locality unknown,58.562202,-134.910806,,,,,Sea Lion,,
UA_111319,M,17.28 months,2002,11,Southwest Brothers Island,57.295176,-133.855464,,,,,Sea Lion,,
UA_111320,M,12.28 months,2002,6,Southwest Brothers Island,57.295176,-133.855464,,,,,Sea Lion,,
UA_111323,M,4.95 months,2001,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111325,M,9.7 months,2006,4,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_111326,M,5.23 months,2005,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111327,M,4.95 months,2001,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111328,F,9.67 months,2006,4,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_111331,M,5.18 months,2005,11,Specific locality unknown,60.705702,-147.929582,,,,,Sea Lion,,
UA_111333,F,11.35 months,2002,5,The Needle,60.11192,-147.601654,,,,,Sea Lion,,
UA_111334,M,11.12 months,2002,5,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_111335,M,11.12 months,2002,5,Specific locality unknown,60.872982,-147.440615,,,,,Sea Lion,,
UA_111337,M,11.25 months,2002,5,The Needle,60.11192,-147.601654,,,,,Sea Lion,,
UA_111338,M,8.92 months,2001,3,Sea Otter Island,58.52265,-152.217827,,,,,Sea Lion,,
UA_111339,F,5.28 months,2002,11,Specific locality unknown,58.562202,-134.910806,,,,,Sea Lion,,
UA_111340,F,5.33 months,2002,11,Specific locality unknown,58.562202,-134.910806,,,,,Sea Lion,,
UA_111341,M,23.48 months,2002,5,Procession Rocks,60.006079,-148.285537,,,,,Sea Lion,,
UA_111347,U,0 months,2000,1,Procession Rocks,60.006079,-148.285537,,,,,Sea Lion,,
UA_111350,U,0 months,2000,1,Semisopochnoi Island,51.943307,-179.625207,,,,,Sea Lion,,
UA_111351,U,0 months,2000,1,Southwest Brothers Island,57.295176,-133.855464,,,,,Sea Lion,,
UA_111352,U,0 months,2000,1,Sunset Island,57.499544,-133.580185,,,,,Sea Lion,,
UA_111354,U,0 months,2000,1,Specific locality unknown,55.8757,-134.592711,,,,,Sea Lion,,
UA_111357,U,0 months,2000,1,Silak Island,51.8136,-176.243766,,,,,Sea Lion,,
UA_113877,M,adult,2009,12,"Broad Bay, Unalaska Bay",57.053039,-135.33,3200,total length,adult,,Sea Lion,,
UA_11470,M,adult,1974,7,,57.05,-170.4,,,adult,,Sea Lion,,
UA_11502,F,juvenile,1956,2,Kenai,60.55416667,-151.2588889,,,juvenile,,Sea Lion,,
UA_11504,F,first year,1974,7,,57.05,-170.4,,,first year,,Sea Lion,,
UA_11505,M,first year,1961,9,Southwest Cape,63.3075,-171.4716667,,,first year,,Sea Lion,,
UA_11510,M,,1965,7,Gambell,63.77972222,-171.7411111,,,,,Sea Lion,,
UA_115630,F,,2005,3,Cape Resurrection,59.871111,-149.2875,,,,,Sea Lion,,
UA_115665,F,,2008,10,Seal Rocks,58.42906,-150.56975,,,,,Sea Lion,,
UA_115804,U,,2011,8,Yakutat,59.54745,-139.728305,,,,,Sea Lion,,
UA_11636,F,adult,1971,4,ice edge NE of Pribilof Islands,57.08333333,-169.7916667,2438,total length,adult,,Sea Lion,,
UA_117586,M,neonate,2004,6,"Kasatochi Island, Atka Quad, Alaska USA",52.17,-175.5208333,952.5,total length,neonate,,Sea Lion,,
UA_130632,M,pup,2013,5,Chiswell Islands,59.643003,-149.572472,,,pup,,Sea Lion,,
UA_134693,F,juvenile,2011,6,Chiswell Island,59.642,-149.614,,,juvenile,,Sea Lion,,
UA_134699,F,neonate,2015,5,Natoa Island,59.640676,-149.608647,,,neonate,,Sea Lion,,
UA_137786,F,,2013,2,Sitka Sound,57.098,-135.487,2315,total length,,,Sea Lion,,
UA_1531,M,adult,1953,6,,57.25,-170.5,,,adult,,Sea Lion,,
UA_18552,F,,1978,4,,58.83333333,-152.0833333,2220,total length,,,Sea Lion,,
UA_24092,U,juvenile,1989,6,Duck Bay,58.1,-152.4666667,,,juvenile,,Sea Lion,,
UA_30426,M,,1995,2,,56.58333333,-169.5833333,,,,,Sea Lion,,
UA_30659,M,,1993,5,NE corner of Gravina Island,55.28333333,-131.6,3630,total length,,,Sea Lion,,
