Sample.ID,Sex,Age,Year,month,locality,Lat,Long,Length,Type,Lifestage,State,Species,Region,Place Holder
UA_79777,M,,1998,5,Reef,57.10833333,-170.2916667,,,,,Sea Lion,,
UA_79778,M,,1999,3,specific locality not recorded,57.18164444,-170.2764761,,,,,Sea Lion,,
UA_79788,F,,1998,1,Dalnoi Point,56.6,-169.7666667,,,,,Sea Lion,,
UA_83386,M,,2000,4,"Yakutat, Akwe River Beach",59.25027778,-138.9338889,,,,,Sea Lion,,
UA_83390,M,,2000,4,Reef Point,57.10833333,-170.2916667,,,,,Sea Lion,,
UA_83392,F,,1999,11,specific locality unknown,57.16666667,-170.25,,,,,Sea Lion,,
UA_83509,U,,1998,5,Saint Paul Island,57.16666667,-170.25,,,,,Sea Lion,,
UA_85049,M,subadult,2008,6,southwest shore of island,58.270556,-134.505833,,,subadult,,Sea Lion,,
UA_85051,M,juvenile,2005,2,specific locality unknown,60.70678056,-147.9236361,,,juvenile,,Sea Lion,,
UA_85082,M,adult,2009,5,Yakutat,59.5432,-139.86126,3048,total length,adult,,Sea Lion,,
UA_85094,M,yearling,2009,8,north of island,59.789289,-139.770437,1620,total length,yearling,,Sea Lion,,
UA_85501,M,,2005,4,Lake Point,51.62459583,-176.98479,1930,total length,,,Sea Lion,,
UA_85506,M,fetus,2004,3,SSL haulout,57.29254361,-133.8531144,,,fetus,,Sea Lion,,
UA_85508,F,juvenile,2005,3,southeast of island,58.56229667,-134.9099028,1450,total length,juvenile,,Sea Lion,,
UA_85510,F,fetus,2004,3,SSL haulout,58.56229667,-134.9099028,750,total length,fetus,,Sea Lion,,
UA_85799,M,,2005,1,Benjamen Island,58.56198333,-134.9097833,,,,,Sea Lion,,
UA_85800,U,juvenile,2005,6,Hazy Islands,58.56198333,-134.9097833,,,juvenile,,Sea Lion,,
UA_86869,M,,2006,5,"Craig, in harbor.",55.4765186,-133.1350708,,,,,Sea Lion,,
UA_86875,U,,2006,1,Glacier Bay National Park and Preserve,58.75958333,-136.3476389,,,,,Sea Lion,,
UA_86877,M,adult,2006,10,Memorial Beach Picnic Area east of Point Baker,56.353,-133.6214167,2438,total length,adult,,Sea Lion,,
UA_86989,M,adult,2006,1,"Mayflower Beach, Kalsin Bay",57.596587,-152.4497222,3200.4,total length,adult,,Sea Lion,,
UA_87338,M,subadult,2006,4,Whittier boat ramp,60.76666667,-148.6666667,,,subadult,,Sea Lion,,
UA_87364,F,adult,2007,6,specific locality unknown,52.9025,172.9094444,,,adult,,Sea Lion,,
UA_87549,M,juvenile,2007,6,Billings Head,54.28371306,-165.4820056,1120,total length,juvenile,,Sea Lion,,
UA_89293,M,juvenile,2004,10,specific locality unknown,58.56248444,-134.9107731,,,juvenile,,Sea Lion,,
UA_92526,M,,1998,10,Resurrection Bay,60.00611111,-149.3694444,,,,,Sea Lion,,
UA_92530,M,,1999,8,specific locality unknown,59.85944444,-149.3797222,,,,,Sea Lion,,
UA_92548,U,,2003,8,"Dutch Harbor, across from Priest Rock",53.91666667,-166.505,1829,total length,,,Sea Lion,,
UA_92554,F,,2000,10,specific locality unknown,60.88275,-147.2044328,,,,,Sea Lion,,
UA_97382,M,8,2002,3,specific locality not recorded,57.17994367,-170.2651938,,,,,Sea Lion,,
UA_97383,M,juvenile,2003,4,Schnag,57.17994367,-170.2651938,,,juvenile,,Sea Lion,,
UA_97385,M,juvenile,2003,10,Polovina Cliffs,57.17994367,-170.2651938,,,juvenile,,Sea Lion,,
UA_97386,M,juvenile,2003,11,Vostochi,57.17994367,-170.2651938,,,juvenile,,Sea Lion,,
UA_97387,M,juvenile,2003,11,Vostochi,57.17994367,-170.2651938,,,juvenile,,Sea Lion,,
UA_97388,M,juvenile,2003,11,Morjoui,57.17994367,-170.2651938,,,juvenile,,Sea Lion,,
UA_97389,F,juvenile,2004,2,specific locality not recorded,57.17994367,-170.2651938,,,juvenile,,Sea Lion,,
UA_97390,M,,2004,3,specific locality not recorded,57.17994367,-170.2651938,,,,,Sea Lion,,
UA_97392,M,juvenile,2001,9,NE point Sea Lion neck,57.247,-170.097,,,juvenile,,Sea Lion,,
UA_97394,M,,2002,4,near Reef Island,60.84968417,-146.8284617,1860,total length,,,Sea Lion,,
UA_97396,F,,2002,4,Tatitlek,60.87070306,-146.6758353,2440,total length,,,Sea Lion,,
UA_97397,M,,2001,5,specific locality not recorded,57.18164444,-170.2764761,,,,,Sea Lion,,
UA_97400,M,adult,2003,11,Sand Point,55.3188,-160.3991619,,,adult,,Sea Lion,,
UA_97404,M,juvenile,2004,6,"North Rocks, Forrester Island complex",54.875,-133.563,,,juvenile,,Sea Lion,,
UA_97568,F,,2000,4,Three sisters,57.2,-153.3,,,,,Sea Lion,,
UA_97575,U,,1995,1,unknown,57.18164444,-170.2764761,,,,,Sea Lion,,
UA_97609,M,yearling,1999,4,North Side of Big Rock,57.18164444,-170.2764761,,,yearling,,Sea Lion,,
UA_97611,M,yearling,2000,4,Favorite Bay,57.5,-134.55,,,yearling,,Sea Lion,,
UA_97881,M,,1975,7,Nanvak Bay,58.60888889,-161.7347222,,,,,Sea Lion,,
UA_97897,M,,1995,11,specific locality unknown,57,-170,,,,,Sea Lion,,
UA_99636,M,juvenile,2005,6,Graves Rock,58.24813333,-136.75575,,,juvenile,,Sea Lion,,
UA_99917,U,juvenile,1996,6,not recorded,54.85,-133.5333333,,,juvenile,,Sea Lion,,
