Analysis,Identifier 1,Rt,Area All,d 29N2/28N2,d 15N/14N,AA_ID,Identifier 2
24371,UA_3716,1424.8,40.512,6.21,6.21,GLY,IL
24369,UA_3716,1532.2,3.694,23.688,23.688,ILE,IL
24370,UA_3716,1531.8,3.655,23.922,23.922,ILE,IL
24371,UA_3716,1532.6,3.575,23.595,23.595,ILE,IL
24369,UA_3716,1552.7,0.875,22.533,22.533,LEU,IL
24370,UA_3716,1552.5,0.867,23.318,23.318,LEU,IL
24371,UA_3716,1553.1,0.861,22.195,22.195,LEU,IL
24369,UA_3716,1587.8,0.863,14.464,14.464,NLE,IL
24370,UA_3716,1587.4,0.856,14.275,14.275,NLE,IL
24371,UA_3716,1588.2,0.84,13.885,13.885,NLE,IL
24369,UA_3716,2247.6,1.577,8.324,8.324,PHE,IL
24370,UA_3716,2247.4,1.53,8.465,8.465,PHE,IL
24371,UA_3716,2248.2,1.487,14.893,14.893,PHE,IL
24369,UA_3716,1816,8.563,21.572,21.572,PRO,IL
24370,UA_3716,1816,8.488,21.682,21.682,PRO,IL
24371,UA_3716,1817,8.371,21.916,21.916,PRO,IL
24369,UA_3716,1931,2.876,10.684,10.684,SER,IL
24370,UA_3716,1931.2,2.876,11.935,11.935,SER,IL
24371,UA_3716,1932.2,2.847,12.674,12.674,SER,IL
24369,UA_3716,1855.7,0.925,-39.448,-39.448,THR,IL
24370,UA_3716,1855.9,1.253,-22.024,-22.024,THR,IL
24371,UA_3716,1856.8,0.858,-39.046,-39.046,THR,IL
24369,UA_3716,1463.8,3.706,22.337,22.337,VAL,IL
24370,UA_3716,1463.6,3.71,21.861,21.861,VAL,IL
24371,UA_3716,1464.3,3.695,21.536,21.536,VAL,IL
24376,UA_62892,1345.3,11.584,27.511,27.511,ALA,SL
24377,UA_62892,1346.4,11.364,27.334,27.334,ALA,SL
24378,UA_62892,1348.5,11.11,27.345,27.345,ALA,SL
24376,UA_62892,1910.7,3.391,27.411,27.411,ASP,SL
24377,UA_62892,1912.6,3.263,26.994,26.994,ASP,SL
24378,UA_62892,1915.9,3.204,27.906,27.906,ASP,SL
24376,UA_62892,2155.6,5.052,28.966,28.966,GLU,SL
24377,UA_62892,2156.9,4.848,29.562,29.562,GLU,SL
24378,UA_62892,2158.8,4.692,29.885,29.885,GLU,SL
24376,UA_62892,1428.9,36.114,15.926,15.926,GLY,SL
24377,UA_62892,1429.8,35.106,16.234,16.234,GLY,SL
24378,UA_62892,1431.4,34.434,16.388,16.388,GLY,SL
24376,UA_62892,1536.2,2.506,28.252,28.252,ILE,SL
24377,UA_62892,1537.4,2.342,28.83,28.83,ILE,SL
24378,UA_62892,1539.5,2.236,29.181,29.181,ILE,SL
24376,UA_62892,1557.1,0.703,27.244,27.244,LEU,SL
24377,UA_62892,1558.3,0.702,29.736,29.736,LEU,SL
24378,UA_62892,1560.2,0.357,17.257,17.257,LEU,SL
24376,UA_62892,1592.8,1.457,15.362,15.362,NLE,SL
24377,UA_62892,1594,1.371,15.348,15.348,NLE,SL
24378,UA_62892,1595.9,1.34,15.469,15.469,NLE,SL
24376,UA_62892,2252.2,1.074,25.709,25.709,PHE,SL
24377,UA_62892,2253.4,1.018,25.166,25.166,PHE,SL
24378,UA_62892,2257.2,0.981,23.943,23.943,PHE,SL
24376,UA_62892,1823.7,7.84,31.799,31.799,PRO,SL
24377,UA_62892,1825.4,7.514,31.683,31.683,PRO,SL
24378,UA_62892,1828.5,7.354,31.821,31.821,PRO,SL
24376,UA_62892,1935.8,1.696,16.211,16.211,SER,SL
24377,UA_62892,1937.6,1.569,17.317,17.317,SER,SL
24378,UA_62892,1941.4,1.608,18.421,18.421,SER,SL
24376,UA_62892,1862,0.839,6.595,6.595,THR,SL
24378,UA_62892,1867.2,0.816,8.159,8.159,THR,SL
24376,UA_62892,1468,2.989,26.175,26.175,VAL,SL
24377,UA_62892,1469.3,2.809,25.958,25.958,VAL,SL
24378,UA_62892,1471.2,2.737,25.838,25.838,VAL,SL
24362,UA_4233,1341.2,19.252,25.986,25.986,ALA,UA
24363,UA_4233,1341.4,18.98,25.553,25.553,ALA,UA
24364,UA_4233,1341.6,16.944,25.864,25.864,ALA,UA
24362,UA_4233,1901.3,5.011,26.429,26.429,ASP,UA
24363,UA_4233,1902.3,5.373,25.627,25.627,ASP,UA
24364,UA_4233,1902.3,4.791,25.907,25.907,ASP,UA
24362,UA_4233,2150.2,6.936,29.407,29.407,GLU,UA
24363,UA_4233,2150.8,7.673,29.361,29.361,GLU,UA
24364,UA_4233,2150.8,6.944,29.682,29.682,GLU,UA
24362,UA_4233,1425.4,57.427,10.518,10.518,GLY,UA
24363,UA_4233,1426.8,61.124,10.93,10.93,GLY,UA
24364,UA_4233,1425.8,53.096,10.487,10.487,GLY,UA
24362,UA_4233,1530.7,3.725,27.909,27.909,ILE,UA
24363,UA_4233,1530.9,3.853,27.049,27.049,ILE,UA
24364,UA_4233,1531.3,3.359,27.999,27.999,ILE,UA
24362,UA_4233,1551.6,0.72,20.972,20.972,LEU,UA
24363,UA_4233,1551.6,1.056,27.34,27.34,LEU,UA
24364,UA_4233,1552,0.915,29.594,29.594,LEU,UA
24362,UA_4233,1586.7,1.024,13.675,13.675,NLE,UA
24363,UA_4233,1586.5,1.109,13.911,13.911,NLE,UA
24364,UA_4233,1587.4,0.992,13.363,13.363,NLE,UA
24362,UA_4233,2246.5,2.114,16.279,16.279,PHE,UA
24363,UA_4233,2246.5,2.155,17.464,17.464,PHE,UA
24364,UA_4233,2247.2,1.902,18.069,18.069,PHE,UA
24362,UA_4233,1816.8,13.465,29.483,29.483,PRO,UA
24363,UA_4233,1817.7,14.089,29.224,29.224,PRO,UA
24364,UA_4233,1817.7,11.131,30.801,30.801,PRO,UA
24362,UA_4233,1927.8,2.656,7.558,7.558,SER,UA
24363,UA_4233,1928.9,3.01,8.251,8.251,SER,UA
24364,UA_4233,1929.1,2.735,8.248,8.248,SER,UA
24362,UA_4233,1852.6,0.689,-35.773,-35.773,THR,UA
24363,UA_4233,1852.6,0.676,-39.474,-39.474,THR,UA
24364,UA_4233,1853.2,0.593,-31.932,-31.932,THR,UA
24362,UA_4233,1462.8,3.711,27.476,27.476,VAL,UA
24363,UA_4233,1463.2,4.684,27.455,27.455,VAL,UA
24364,UA_4233,1463.4,3.818,26.022,26.022,VAL,UA
24372,UA_87054,1346.2,22.467,26.921,26.921,ALA,UA
24373,UA_87054,1346.6,21.954,26.966,26.966,ALA,UA
24374,UA_87054,1347.4,21.526,27.169,27.169,ALA,UA
24372,UA_87054,1911.7,6.635,28.59,28.59,ASP,UA
24373,UA_87054,1912.8,6.298,28.944,28.944,ASP,UA
24374,UA_87054,1914.2,6.575,26.685,26.685,ASP,UA
24372,UA_87054,2158.1,11.019,31.726,31.726,GLU,UA
24373,UA_87054,2158.8,10.593,31.231,31.231,GLU,UA
24374,UA_87054,2159.8,10.25,32.104,32.104,GLU,UA
24372,UA_87054,1432.5,69.4,11.876,11.876,GLY,UA
24373,UA_87054,1432.9,68.317,12.096,12.096,GLY,UA
24374,UA_87054,1433.5,69.085,12.744,12.744,GLY,UA
24372,UA_87054,1536.2,4.859,30.521,30.521,ILE,UA
24373,UA_87054,1536.6,4.535,30.674,30.674,ILE,UA
24374,UA_87054,1537.4,4.313,30.658,30.658,ILE,UA
24372,UA_87054,1555.8,1.017,35.247,35.247,LEU,UA
24373,UA_87054,1556.2,0.965,35.603,35.603,LEU,UA
24374,UA_87054,1557.1,0.919,36.439,36.439,LEU,UA
24372,UA_87054,1590.5,1.279,15.084,15.084,NLE,UA
24373,UA_87054,1591.1,1.183,13.192,13.192,NLE,UA
24374,UA_87054,1591.7,1.118,13.323,13.323,NLE,UA
24372,UA_87054,2251.6,2.055,14.85,14.85,PHE,UA
24373,UA_87054,2252,1.914,15.577,15.577,PHE,UA
24374,UA_87054,2252.8,1.82,15.964,15.964,PHE,UA
24372,UA_87054,1822.9,12.559,31.972,31.972,PRO,UA
24373,UA_87054,1823.9,11.423,32.211,32.211,PRO,UA
24374,UA_87054,1825,10.986,32.273,32.273,PRO,UA
24372,UA_87054,1943.1,5.452,21.439,21.439,SER,UA
24373,UA_87054,1943.9,5.273,21.656,21.656,SER,UA
24374,UA_87054,1945.6,5.964,19.127,19.127,SER,UA
24372,UA_87054,1862,2.575,-7.563,-7.563,THR,UA
24373,UA_87054,1862.8,2.313,-7.197,-7.197,THR,UA
24374,UA_87054,1864.3,2.321,-4.831,-4.831,THR,UA
24372,UA_87054,1467.8,3.206,30.259,30.259,VAL,UA
24373,UA_87054,1468.2,5.382,24.522,24.522,VAL,UA
24374,UA_87054,1469.1,6.77,24.752,24.752,VAL,UA
24365,UA_92552,1342,16.718,25.52,25.52,ALA,UA
24366,UA_92552,1342,17.052,25.547,25.547,ALA,UA
24367,UA_92552,1342,16.892,25.806,25.806,ALA,UA
24365,UA_92552,1903.2,4.946,23.833,23.833,ASP,UA
24366,UA_92552,1903.6,5.057,24.775,24.775,ASP,UA
24367,UA_92552,1903.6,4.914,24.913,24.913,ASP,UA
24365,UA_92552,2152.3,7.682,27.957,27.957,GLU,UA
24366,UA_92552,2152.3,7.877,28.056,28.056,GLU,UA
24367,UA_92552,2152.5,7.685,27.935,27.935,GLU,UA
24365,UA_92552,1426.2,54.291,14.227,14.227,GLY,UA
24366,UA_92552,1426.4,53.9,13.781,13.781,GLY,UA
24367,UA_92552,1426.4,54.534,14.392,14.392,GLY,UA
24365,UA_92552,1532.4,4.124,26.244,26.244,ILE,UA
24366,UA_92552,1532.4,4.199,26.111,26.111,ILE,UA
24367,UA_92552,1532.6,4.137,25.992,25.992,ILE,UA
24365,UA_92552,1552.9,0.977,25.266,25.266,LEU,UA
24366,UA_92552,1552.7,1.01,24.775,24.775,LEU,UA
24367,UA_92552,1552.9,0.987,24.031,24.031,LEU,UA
24365,UA_92552,1587.8,1,13.622,13.622,NLE,UA
24366,UA_92552,1587.6,1.031,14.839,14.839,NLE,UA
24367,UA_92552,1587.8,1.006,14.376,14.376,NLE,UA
24365,UA_92552,2248,2.238,17.444,17.444,PHE,UA
24366,UA_92552,2247.8,2.271,17.906,17.906,PHE,UA
24367,UA_92552,2248.2,2.13,18.513,18.513,PHE,UA
24365,UA_92552,1818.5,12.864,29.629,29.629,PRO,UA
24366,UA_92552,1818.7,13.038,29.578,29.578,PRO,UA
24367,UA_92552,1818.7,12.748,30.114,30.114,PRO,UA
24365,UA_92552,1930.1,2.961,10.367,10.367,SER,UA
24366,UA_92552,1930.5,3.05,12.07,12.07,SER,UA
24367,UA_92552,1930.5,2.96,11.581,11.581,SER,UA
24365,UA_92552,1854.2,1.402,-7.754,-7.754,THR,UA
24367,UA_92552,1854.7,1.366,-7.937,-7.937,THR,UA
24365,UA_92552,1463.8,4.88,27.006,27.006,VAL,UA
24366,UA_92552,1463.6,3.901,26.311,26.311,VAL,UA
24367,UA_92552,1463.8,4.667,26.799,26.799,VAL,UA
