Analysis,Identifier 1,Rt,Area All,d 29N2/28N2,d 15N/14N,AA_ID,Identifier 2
24358,12AA,1329.7,1.684,0.391,0.391,ALA,12
24359,12AA,1335.1,4.355,-1.542,-1.542,ALA,12
24360,12AA,1334.5,4.763,-1.431,-1.431,ALA,12
24361,12AA,1334.5,4.624,-1.201,-1.201,ALA,12
24368,12AA,1335.3,4,-1.652,-1.652,ALA,12
24375,12AA,1340.3,3.83,-0.662,-0.662,ALA,12
24379,12AA,1343.5,3.826,-0.003,-0.003,ALA,12
24380,12AA,1342.8,3.935,-0.36,-0.36,ALA,12
24358,12AA,1892.9,2.592,-10.401,-10.401,ASP,12
24359,12AA,1895.2,3.072,-9.021,-9.021,ASP,12
24360,12AA,1894.8,3.197,-9.381,-9.381,ASP,12
24361,12AA,1894.6,3.059,-10.154,-10.154,ASP,12
24368,12AA,1896.9,2.674,-10.463,-10.463,ASP,12
24375,12AA,1905.7,2.452,-9.505,-9.505,ASP,12
24379,12AA,1911.5,2.485,-8.9,-8.9,ASP,12
24380,12AA,1910.7,2.549,-9.063,-9.063,ASP,12
24358,12AA,2142,2.177,-3.088,-3.088,GLU,12
24359,12AA,2142.3,1.709,-1.644,-1.644,GLU,12
24360,12AA,2142,2.196,-1.716,-1.716,GLU,12
24361,12AA,2141.8,2.357,-2.298,-2.298,GLU,12
24368,12AA,2143.3,2.321,-2.46,-2.46,GLU,12
24375,12AA,2149.4,2.228,-1.899,-1.899,GLU,12
24379,12AA,2153.3,2.176,-1.28,-1.28,GLU,12
24380,12AA,2152.7,2.254,-1.533,-1.533,GLU,12
24358,12AA,1455.1,2.248,2.322,2.322,GLY,12
24359,12AA,1459.9,4.44,0.718,0.718,GLY,12
24360,12AA,1459.7,4.923,0.711,0.711,GLY,12
24361,12AA,1459.4,4.78,1.011,1.011,GLY,12
24368,12AA,1460.3,4.302,0.715,0.715,GLY,12
24375,12AA,1465.3,4.215,0.843,0.843,GLY,12
24379,12AA,1468.4,4.143,1.483,1.483,GLY,12
24380,12AA,1467.8,4.296,1.286,1.286,GLY,12
24358,12AA,1549.3,2.608,-3.463,-3.463,ILE,12
24359,12AA,1553.7,4.139,-1.212,-1.212,ILE,12
24360,12AA,1553.3,4.414,-0.735,-0.735,ILE,12
24361,12AA,1553.1,4.257,-0.875,-0.875,ILE,12
24368,12AA,1553.9,3.982,-1.12,-1.12,ILE,12
24375,12AA,1558.9,3.704,-0.523,-0.523,ILE,12
24379,12AA,1561.9,3.562,-0.453,-0.453,ILE,12
24380,12AA,1561.2,3.65,-0.732,-0.732,ILE,12
24358,12AA,1582.8,0.929,12.614,12.614,NLE,12
24359,12AA,1586.5,1.565,12.502,12.502,NLE,12
24360,12AA,1586.3,1.853,13.62,13.62,NLE,12
24361,12AA,1586.1,1.761,14.186,14.186,NLE,12
24368,12AA,1586.7,1.536,13.78,13.78,NLE,12
24375,12AA,1591.5,1.409,14.457,14.457,NLE,12
24379,12AA,1594.7,1.411,15.404,15.404,NLE,12
24380,12AA,1594,1.458,15.78,15.78,NLE,12
24358,12AA,2248.4,3.222,3.537,3.537,PHE,12
24359,12AA,2248,3.375,3.54,3.54,PHE,12
24360,12AA,2247.8,3.463,3.356,3.356,PHE,12
24361,12AA,2247.8,3.387,3.375,3.375,PHE,12
24368,12AA,2248.6,3.109,2.822,2.822,PHE,12
24375,12AA,2254.1,2.96,3.242,3.242,PHE,12
24379,12AA,2257.4,2.92,3.816,3.816,PHE,12
24380,12AA,2256.8,2.957,4.21,4.21,PHE,12
24358,12AA,1799.3,0.64,-3.001,-3.001,PRO,12
24359,12AA,1802,1.048,-0.907,-0.907,PRO,12
24360,12AA,1801.6,1.374,-2.031,-2.031,PRO,12
24361,12AA,1801.4,1.315,-1.901,-1.901,PRO,12
24368,12AA,1803.3,1.135,-0.674,-0.674,PRO,12
24375,12AA,1810.6,1.021,-1.722,-1.722,PRO,12
24379,12AA,1815.6,0.992,-1.64,-1.64,PRO,12
24380,12AA,1815,1.031,-0.58,-0.58,PRO,12
24358,12AA,1922.6,2.262,0.297,0.297,SER,12
24359,12AA,1924.7,2.368,1.124,1.124,SER,12
24360,12AA,1924.1,2.42,1.869,1.869,SER,12
24361,12AA,1923.8,2.319,0.697,0.697,SER,12
24368,12AA,1926.4,2.229,-0.795,-0.795,SER,12
24375,12AA,1935.8,2.176,-1.944,-1.944,SER,12
24379,12AA,1941.8,2.208,-1.608,-1.608,SER,12
24380,12AA,1941,2.24,-0.853,-0.853,SER,12
24358,12AA,1851.9,1.681,-3.133,-3.133,THR,12
24359,12AA,1854.5,1.999,-1.926,-1.926,THR,12
24360,12AA,1854,2.196,-2.461,-2.461,THR,12
24361,12AA,1853.8,2.114,-3.019,-3.019,THR,12
24368,12AA,1855.9,1.882,-2.115,-2.115,THR,12
24375,12AA,1864.3,1.744,-2.531,-2.531,THR,12
24379,12AA,1869.7,1.758,-1.716,-1.716,THR,12
24380,12AA,1868.9,1.803,-1.645,-1.645,THR,12
24358,12AA,2640.1,1.377,4.581,4.581,TYR,12
24359,12AA,2638.8,1.523,3.395,3.395,TYR,12
24360,12AA,2638.8,1.735,3.88,3.88,TYR,12
24361,12AA,2638.8,1.715,3.92,3.92,TYR,12
24368,12AA,2639,1.407,4.414,4.414,TYR,12
24375,12AA,2642.8,1.32,3.966,3.966,TYR,12
24379,12AA,2644.9,1.284,5.335,5.335,TYR,12
24380,12AA,2644.7,1.308,4.063,4.063,TYR,12
24358,12AA,1525.5,2.192,-1.064,-1.064,VAL,12
24359,12AA,1530.1,4.257,1.236,1.236,VAL,12
24360,12AA,1529.7,4.745,2.086,2.086,VAL,12
24361,12AA,1529.7,4.581,1.801,1.801,VAL,12
24368,12AA,1530.5,3.971,1.508,1.508,VAL,12
24375,12AA,1535.7,3.666,2.111,2.111,VAL,12
24379,12AA,1538.9,3.615,2.486,2.486,VAL,12
24380,12AA,1538.2,3.739,2.182,2.182,VAL,12
24369,UA_3716,1341.2,13.945,22.013,22.013,ALA,IL
24370,UA_3716,1340.9,13.989,21.963,21.963,ALA,IL
24371,UA_3716,1341.6,13.843,22.331,22.331,ALA,IL
24369,UA_3716,1902.7,4.282,21.547,21.547,ASP,IL
24370,UA_3716,1902.9,4.192,21.823,21.823,ASP,IL
24371,UA_3716,1903.8,4.096,22.476,22.476,ASP,IL
24369,UA_3716,2150.4,6.011,25.815,25.815,GLU,IL
24370,UA_3716,2150.2,5.946,25.275,25.275,GLU,IL
24371,UA_3716,2151,5.852,26.219,26.219,GLU,IL
24369,UA_3716,1424.1,41.029,6.03,6.03,GLY,IL
24370,UA_3716,1423.9,40.956,6.137,6.137,GLY,IL
