,Sample.ID,NLE.mean,ALA.mean,VAL.mean,ILE.mean,ASP.mean,PHE.mean,GLU.mean,TYR.mean,THR.mean,SER.mean,PRO.mean,GLY.mean,Year,Region,Length,Type,Age,Sex,Lifestage,Place.Holder,Lat,Long,State,locality,Species,month
26,UA_99570,13.39268857,23.36026347,22.02840616,NA,23.93907578,11.84308052,27.06013736,NA,-32.08644701,15.287373,26.979,8.974,2003,SE,NA,,4,,Adult,1,59.555,-139.798,AK,,Harbor Seal,NA
27,UA_28932,12.99710805,27.32338025,25.73274334,NA,27.08664387,11.8915948,30.19934192,NA,-37.04196588,20.15314987,30.68733333,11.88133333,1965,SE,NA,,,F,Adult,1,55.925577,-131.158094,AK,,Harbor Seal,NA
28,UA_85207,14.35861812,23.29479307,20.90113085,NA,23.24690705,11.82859873,26.81872765,NA,-33.89491282,12.67180595,28.12533333,10.37366667,2006,SE,1160,Total Length,,M,,1,55.54,-131.759,AK,,Harbor Seal,NA
29,UA_85208,12.98921137,23.66508585,13.01797099,NA,22.42702664,9.534624038,25.13360036,NA,-28.17434399,15.07915275,27.17166667,9.900333333,2006,SE,1360,Total Length,,M,,1,55.54,-131.759,AK,,Harbor Seal,NA
30,UA_85212,16.06231143,22.63540053,24.1726566,NA,22.84141741,11.39341548,26.5597389,NA,-28.57308363,10.76547647,26.10033333,8.006666667,2005,SE,1520,Total Length,,M,,1,55.54,-131.759,AK,,Harbor Seal,NA
31,UA_99537,15.39984813,23.65008748,18.9009032,NA,23.62685761,12.09556949,25.14146921,NA,-32.57886804,14.9471364,27.608,8.397333333,2003,SE,1520,Total Length,6,F,Adult,1,59.364,-139.368,AK,,Harbor Seal,NA
32,UA_99658,14.60474808,21.81777279,21.16521758,NA,20.93380018,9.597444716,25.51933067,NA,-34.40046174,10.62314602,23.541,8.953666667,2004,SE,1410,Total Length,6,F,Adult,1,58.66833333,-134.915,AK,,Harbor Seal,NA
33,UA_11774,11.90238677,22.89332171,25.2260296,NA,25.19488499,9.243258067,26.78009969,NA,-25.88060591,15.86172476,27.22366667,10.19466667,1972,SC,1130,Total Length,,F,,1,60.25,-147.4666667,AK,,Harbor Seal,NA
34,UA_11816,11.98494782,23.13786638,25.34034044,NA,22.8049274,9.620967769,25.96106309,NA,-24.04238458,16.34416811,29.27416667,11.0445,1973,SC,138,Standard Length,,F,,1,60.4,-147.6166667,AK,,Harbor Seal,NA
35,UA_35437,12.08930536,23.65281772,25.25044849,NA,24.83849512,10.1778118,27.12237071,NA,-28.37962322,16.53007808,27.84483333,9.590833333,1996,SC,1675,Total Length,,M,,1,60.66166667,-145.62,AK,,Harbor Seal,NA
36,UA_35445,13.52357763,23.89160639,25.55847099,NA,24.59045271,12.44976876,27.9194073,NA,-30.06251121,16.7613014,26.89833333,9.7475,1996,SC,1340,Total Length,,F,,1,60.26666667,-147.3266667,AK,,Harbor Seal,NA
